pattern,atb_norm,atb_family,atb_subfamily,,
(?i)^(amoxicilline|ampicilline)\s*(?:/|-|et\s*/?\s*ou|ou)\s*(amoxicilline|ampicilline)\b,amoxicilline_ampicilline,b_lactamine,penicillines,,
(?i)amoxicilline\s*/\s*ampicilline,amoxicilline_ampicilline,b_lactamine,penicillines,,
(?i)ampicilline\s*/\s*amoxicilline,amoxicilline_ampicilline,b_lactamine,penicillines,,
(?i)^(augmentin|claventin|amoxicilline\s*-\s*acide\s*clavulanique)\b,amoxicilline_acide_clavulanique,b_lactamine,penicillines,,
(?i)^amox\b,amoxicilline,b_lactamine,penicillines,,
(?i)^amoxicilline\b,amoxicilline,b_lactamine,penicillines,,
(?i)^ampi\b,ampicilline,b_lactamine,penicillines,,
(?i)^ampicilline\b,ampicilline,b_lactamine,penicillines,,
(?i)^piperacilline\s*(\+|-)\s*tazobactam\b,piperacilline_tazobactam,b_lactamine,penicillines,,
(?i)^pipera\s*tazo\b,piperacilline_tazobactam,b_lactamine,penicillines,,
(?i)^piperacilline\b,piperacilline,b_lactamine,penicillines,,
(?i)^ticarcilline\b,ticarcilline,b_lactamine,penicillines,,
(?i)^temocilline\b,temocilline,b_lactamine,penicillines,,
(?i)^pivmecillinam\b,mecillinam,b_lactamine,penicillines,,
(?i)^mecillinam\b,mecillinam,b_lactamine,penicillines,,
(?i)^(peni\s*g|penicilline\s*g)\b,penicilline_g,b_lactamine,penicillines,,
(?i)^meticilline\b,oxacilline,b_lactamine,penicillines,,
(?i)^cloxa\s*\d+\b,oxacilline,b_lactamine,penicillines,,
(?i)^oxacilline\b,oxacilline,b_lactamine,penicillines,,
(?i)^cefalotine\b,cefalotine,b_lactamine,cephalosporines_1_gen,,
(?i)^cefalexine\b,cefalexine,b_lactamine,cephalosporines_1_gen,,
(?i)^cefuroxime\b,cefuroxime,b_lactamine,cephalosporines_2_gen,,
(?i)^cefixime\b,cefixime,b_lactamine,cephalosporines_3_gen,,
(?i)^cefoxitine\b,cefoxitine,b_lactamine,cephalosporines_2_gen,,
(?i)^c3g\b,c3g_class,b_lactamine,cephalosporines_3_gen_class,,
(?i)^cefotaxime\b,cefotaxime,b_lactamine,cephalosporines_3_gen,,
(?i)^ce.?triaxone\b,ceftriaxone,b_lactamine,cephalosporines_3_gen,,
(?i)^ceftazidime\s*-\s*avibactam\b,ceftazidime_avibactam,b_lactamine,cephalosporines_3_gen_inib,,
(?i)^ceftazidime\b,ceftazidime,b_lactamine,cephalosporines_3_gen,,
(?i)^cefepime\b,cefepime,b_lactamine,cephalosporines_4_gen,,
(?i)^ceftolozane\s*-\s*tazobactam\b,ceftolozane_tazobactam,b_lactamine,cephalosporines_3_gen_inib,,
(?i)^ceftaroline\b,ceftaroline,b_lactamine,cephalosporines_5_gen,,
(?i)^ceftobiprole\b,ceftobiprole,b_lactamine,cephalosporines_5_gen,,
(?i)^cefiderocol\b,cefiderocol,b_lactamine,cephalosporines_siderophore,,
(?i)^ertapeneme\b,ertapeneme,b_lactamine,carbapenemes,,
(?i)^imipeneme\s*-\s*relebactam\b,imipeneme_relebactam,b_lactamine,carbapenemes_inib,,
(?i)^imipeneme\b,imipeneme,b_lactamine,carbapenemes,,
(?i)^meropeneme\s*-\s*vaborbactam\b,meropeneme_vaborbactam,b_lactamine,carbapenemes_inib,,
(?i)^meropeneme\b,meropeneme,b_lactamine,carbapenemes,,
(?i)^aztreonam\b,aztreonam,b_lactamine,monobactames,,
(?i)^gentamicine\b,gentamicine,aminosides,aminosides,,
(?i)^amikacine\b,amikacine,aminosides,aminosides,,
(?i)^tobramycine\b,tobramycine,aminosides,aminosides,,
(?i)^netilmicine\b,netilmicine,aminosides,aminosides,,
(?i)^kanamycine\b,kanamycine,aminosides,aminosides,,
(?i)^fluoroquinolones?\b,fluoroquinolones_class,quinolones,fluoroquinolones_class,,
(?i)^ciprofloxacine\b,ciprofloxacine,quinolones,fluoroquinolones,,
(?i)^levofloxacine\b,levofloxacine,quinolones,fluoroquinolones,,
(?i)^ofloxacine\b,ofloxacine,quinolones,fluoroquinolones,,
(?i)^moxifloxacine\b,moxifloxacine,quinolones,fluoroquinolones,,
(?i)^norfloxacine\b,norfloxacine,quinolones,fluoroquinolones,,
(?i)^delafloxacine\b,delafloxacine,quinolones,fluoroquinolones,,
(?i)^acide\s*nalidixique\b,acide_nalidixique,quinolones,quinolone (ancienne generation),,
(?i)^nitrofurantoine\b,nitrofurantoine,nitrofuranes,nitrofurane,,
(?i)^nitrofuranes\b,nitrofurantoine,nitrofuranes,nitrofurane,,
(?i)^fosfomycine\s*iv\b,fosfomycine_iv,derives_de_l_acide_phosphonique,fosfomycine_iv,,
(?i)^fosfomycine\s*trometamol\b,fosfomycine_trometamol,derives_de_l_acide_phosphonique,fosfomycine_trometamol,,
(?i)^fosfomycine\b(?!\s*(iv|trometamol)\b),fosfomycine_class,derives_de_l_acide_phosphonique,fosfomycine_class,,
(?i)^cotrimoxazole\b,trimethoprime_sulfamethoxazole,antifolates,diaminopyrimidines_sulfamides,,
(?i)^trimeth\s*\+\s*sulfa\b,trimethoprime_sulfamethoxazole,antifolates,diaminopyrimidines_sulfamides,,
(?i)^trimethoprime\b,trimethoprime,antifolates,trimethoprimes,,
(?i)^clindamycine\b,clindamycine,lincosamides,lincosamides,,
(?i)^erythromycine\b,erythromycine,macrolides,macrolides,,
(?i)^(azit[hr]+omycine)\b,azithromycine,macrolides,macrolides,,
(?i)^clarithromycine\b,clarithromycine,macrolides,macrolides,,
(?i)^tetracycline\b,tetracycline,tetracyclines,tetracyclines,,
(?i)^doxycycline\b,doxycycline,tetracyclines,tetracyclines,,
(?i)^minocycline\b,minocycline,tetracyclines,tetracyclines,,
(?i)^rifampicine\.?\b,rifampicine,rifamycines,rifamycines,,
(?i)^acide\s*fusidique\b,acide_fusidique,autres_antibacteriens,acide_fusidique,,
(?i)^chloramphenicol\b,chloramphenicol,phenicoles,phenicoles,,
(?i)^linezolide\b,linezolide,oxazolidinones,oxazolidinones,,
(?i)^daptomycine\b,daptomycine,lipopeptides,lipopeptides,,
(?i)^pristinamycin(e)?\b,pristinamycine,streptogramines,streptogramines,,
