pattern,naturepvt_norm,commentaire,examples SPARES,
(?i)hemocult,hemoculture,,,
(?i)urine,urines,(à l’exclusion du matériel de sondage),,
(?i)lcr|cephalo.?rachidien|epidural,lcr,,,
(?i)\bascite\b|dialyse,liquide_ascite,Ascite - Liquide de dialyse péritonéale,,
(?i)\bpleural.?\b,liquide_pleural,,,
(?i)articulaire|genou|synovite|articulation|\bcartilage,liquide_articulaire,,,
(?i)\bvalve\b|hematome|vitre+\b|\baort|cerebral|mediastin|\bprofond|pericard|humeur\s*a.?queuse|mitrale|tricuspi,pvt_profond,,"Liquide péritonéal - Liquide péricardique - Bile - Hématome - Pus - Humeur vitrée - Humeur aqueuse - Os - Valve - Tissu ou matériel prothétique interne, provenant de sites anatomiques clos et normalement stériles et prélevé par ponction ou par chirurgie",
(?i)prothese|prothetique|pace\s*maker|\bpth\b|\bptg\b|materiel|capsule\s*hanche|heart\s*mate|artificiel|\bsonde|poche\s*urinaire|\bplaque,pvt_profond,protheses/materiel,,
(?i)\bbile\b|\bbiliaire\b|\bperitoneal|hepatique|abdominal|\bpancrea|\bvesicul|\bpulmon|poumon,pvt_profond,abdomen/thorax,"Liquide péritonéal - Liquide péricardique - Bile - Hématome - Pus - Humeur vitrée - Humeur aqueuse - Os - Valve - Tissu ou matériel prothétique interne, provenant de sites anatomiques clos et normalement stériles et prélevé par ponction ou par chirurgie",
(?i)\bos\b|tibia|vertebral|machoire|\bmeta\b|metatars|metacarp|\bmuscle|\bmusculaire|sous\s*cutane|aponevro|\bperone\b|scarpa|malleole|\bosseu|\bulna|\boste[oi]|\bmetarse|\bcotyle|\bmoelle|\bfascia|\btendon,pvt_profond,os/muscles,"Liquide péritonéal - Liquide péricardique - Bile - Hématome - Pus - Humeur vitrée - Humeur aqueuse - Os - Valve - Tissu ou matériel prothétique interne, provenant de sites anatomiques clos et normalement stériles et prélevé par ponction ou par chirurgie",
(?i)lavage\s*alveolaire|lavage\s*bronch?o\-?alveolaire|pbdp,pvt_resp_protege_ou_distal,,Brosse bronchique - Prélèvement distal protégé - Lavage alvéolaire - Cathéter protégé,
(?i)crachat|\bexpecto(ration)?\b|aspiration\s*bronchique|naso\-?pharynge+|pharynge+|mucovisc?idose,pvt_resp_non_protege,,Aspiration bronchique - Expectoration - Aspiration nasopharyngée,
(?i)^selles,coproculture,hors depistage (mais je n'ai aucune idée de comment filtrer sur ça),,
(?i)^(catheter|ktj|chambre|stent),dispositif_intravasculaire,,Cathéter - Cathéter artériel - Cathéter périphérique - Cathéter central - Cathéter veineux central - Cathéter à chambre implantable,
(?i)sperme|vaginal|uretral|endocol|genital|lochies?|endometre|uterus|vulve|vulvaire|exocol|\bscrot|\btesticul|\bsein\s*(droit|gauche),prelevement_genital,,"Prélèvement urétral - Prélèvement vaginal, cervico-vaginal, endocol, exocol - Lochies - Sperme",
(?i)placenta|amniotique|liquide\s*gastrique|\blait\b,pvt_nouveau_ne,,Liquide gastrique - Multi-sites - Placenta,
(?i)\bpeau\b|cuir\s*chevelu|escarre|decubitus|calcaneum|OTORRHEE|oreille|\bongle|panaris|\bmain|ulcere\s*jambe|conduit\s*auditif|ombilic|orteil|hallux|plaie|cicatrice|\bpustule|mal\s*perforant,pus_superficiel,,,
(?i)biopsie|cornee|conjonctive|autres|^divers|liquide\s*de\s*conservation|\brincage\b|drain|redon|^lentille|ecouv\.+divers,pvt_autre,,,
,,,,
