JKFA023;Colpohystérectomie totale élargie aux paramètres, par abord vaginal
JKFC004;Myomectomie de l'utérus sans hystérotomie, par coelioscopie
JKND001;Destruction de la muqueuse utérine par thermocontact, par voie vaginale
JKFA016;Myomectomie unique de l'utérus, par laparotomie
JJLE001;Cathétérisme rétrograde unilatéral ou bilatéral de la trompe utérine, par hystéroscopie
JJPC002;Ovariotomie exploratrice, par coelioscopie
JKFA009;Trachélectomie sur col restant de l'utérus, par laparotomie
JEMA012;Urétroplastie balanique ou rétroméatique
JEPA007;Libération de l'urètre [Urétrolyse], par abord direct
JEGA005;Ablation d'une prothèse sphinctérienne urinaire péricervicale chez la femme, par laparotomie
JEGE002;Ablation d'une endoprothèse temporaire de l'urètre, par endoscopie
JEMA004;Urétroplastie pour méga-urètre congénital
JEFA001;Résection et modelage d'une urétrocèle après urétroplastie
JEFA008;Résection-anastomose de l'urètre antérieur, par abord pénoscrotal
JGFA015;Résection d'une hypertrophie de la prostate, par urétrocystoscopie
JEPD001;Urétrotomie interne à l'aveugle
JFJA001;Évacuation de collection périrénale, par abord direct
JKPJ002;Section ou résection de cloison utérine, par voie vaginale avec guidage échographique
JMFA002;Exérèse de lésion vulvopérinéale
JLCA008;Suture de plaie du vagin
JMEA001;Transposition du clitoris
JLDA001;Suspension du dôme du vagin [Promontofixation du dôme vaginal], par laparotomie
JLNL002;Curiethérapie intracavitaire vaginale à haut débit de dose avec dosimétrie bidimensionnelle
JPHB002;Biopsie du trophoblaste
JLJD001;Drainage d'un hématocolpos ou d'un hydrocolpos
JMFA005;Vulvectomie totale avec curage lymphonodal inguinal unilatéral
JPHJ001;Amniocentèse sur plusieurs sacs amniotiques, avec guidage échographique
JMMA002;Vulvopérinéoplastie
JNED001;Réduction manuelle d'inversion utérine
JPLB001;Amnio-infusion, par voie transcutanée
JLCA006;Anastomose utérovaginale ou vaginovaginale, pour malformation utérovaginale
JLMD001;Réparation de l'hymen
LFFA002;Exérèse d'une hernie discale de la colonne vertébrale lombale, par abord postérieur ou postérolatéral
LEPA009;Ostéotomie antérieure ou discectomie totale pour déformation rigide de la colonne vertébrale avec arthrodèse, sans correction instrumentale, sur 1 à 3 vertèbres, par laparotomie ou par lombotomie
LFDA014;Arthrodèse intercorporéale d'un spondylolisthésis lombal à grand déplacement sans réduction, avec ostéosynthèse, par abord postérieur translombosacral
LHDA003;Ligamentoplastie interépineuse de la colonne vertébrale, par abord postérieur
LHCA010;Ostéosynthèse postérieure de la colonne vertébrale avec exploration du contenu canalaire, par abord postérieur
LFDA013;Arthrodèse d'un spondylolisthésis lombal sans réduction, par laparotomie
HBGD300;Avulsion d'une dent en désinclusion avec couronne sous muqueuse en position palatine ou linguale
HBGD312;Avulsion de 6 dents permanentes sur arcade avec alvéolectomie
LFDA003;Arthrodèse postérieure et/ou postérolatérale d'un spondylolisthésis lombal sans réduction, avec libération radiculaire, sans ostéosynthèse, par abord postérieur
LFMA001;Correction instrumentale d'une déformation souple de la colonne vertébrale avec arthrodèse de 3 à 5 vertèbres, par lombotomie
LFPA003;Ostéotomie antérieure ou discectomie totale pour déformation rigide de la colonne vertébrale avec arthrodèse, sans correction instrumentale, sur 4 vertèbres ou plus, par laparotomie ou par lombotomie
LHCA001;Ostéosynthèse de la colonne vertébrale sans exploration du contenu canalaire, par abord antérieur et par abord postérieur
